Calendar Year,System Type,Inter/Intra,Commodity,Total Miles,Total Breakout Tanks,Operator Count,Operator Count, VALUEOF(PORTAL_DATE),HL Total Pipe Miles,Miles of Gathering
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,97,0,1,30969,2017-03-07 04:06:52,97,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,156.05,4,1,31045,2017-03-07 04:06:52,156.05,14.88
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,2.5,1,1,31083,2017-03-07 04:06:52,2.5,2.5
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,209,0,1,31166,2017-03-07 04:06:52,209,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,64.42,1,1,31167,2017-03-07 04:06:52,64.42,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,3004.2,92,1,31174,2017-03-07 04:06:52,3004.2,64
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,1291,23,1,31189,2017-03-07 04:06:52,1291,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,6.439,0,1,31295,2017-03-07 04:06:52,6.439,
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,15.2,0,1,31296,2017-03-07 04:06:52,15.2,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,20.849,0,1,31336,2017-03-07 04:06:52,20.849,9.008
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,49.4,0,1,31352,2017-03-07 04:06:52,49.4,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,88,2,1,31448,2017-03-07 04:06:52,88,
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,125.6,6,1,31454,2017-03-07 04:06:52,125.6,7
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,101.5,0,1,31476,2017-03-07 04:06:52,101.5,4.1
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,51.38,0,1,31485,2017-03-07 04:06:52,51.38,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,34.634,0,1,31552,2017-03-07 04:06:52,34.634,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,44.2,0,1,31563,2017-03-07 04:06:52,44.2,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,311.5,11,1,31570,2017-03-07 04:06:52,311.5,52.3
